rate_date	base_currency	quote_currency	spot_rate	bid_rate	ask_rate	central_bank_fixing
2025-01-01	USD	EUR	0.9007	0.9003	0.9011	0.9007
2025-01-01	USD	GBP	0.773	0.7725	0.7735	0.773
2025-01-01	USD	INR	84.5173	84.4673	84.5673	84.5173
2025-01-01	USD	JPY	148.1082	147.9582	148.2582	148.1082
2025-01-01	USD	CAD	1.3395	1.3387	1.3403	1.3395
2025-01-01	USD	AUD	1.5021	1.5011	1.5031	1.5021
2025-01-01	USD	CHF	0.8921	0.8916	0.8926	0.8921
2025-01-01	USD	SGD	1.3083	1.3077	1.3089	1.3083
2025-01-02	USD	EUR	0.9407	0.9403	0.9411	0.9407
2025-01-02	USD	GBP	0.7739	0.7734	0.7744	0.7739
2025-01-02	USD	INR	82.2877	82.2377	82.3377	82.2877
2025-01-02	USD	JPY	143.2647	143.1147	143.4147	143.2647
2025-01-02	USD	CAD	1.3346	1.3338	1.3354	1.3346
2025-01-02	USD	AUD	1.4957	1.4947	1.4967	1.4957
2025-01-02	USD	CHF	0.8766	0.8761	0.8771	0.8766
2025-01-02	USD	SGD	1.3171	1.3165	1.3177	1.3171
2025-01-03	USD	EUR	0.9309	0.9305	0.9313	0.9309
2025-01-03	USD	GBP	0.803	0.8025	0.8035	0.803
2025-01-03	USD	INR	81.1162	81.0662	81.1662	81.1162
2025-01-03	USD	JPY	141.2406	141.0906	141.3906	141.2406
2025-01-03	USD	CAD	1.3577	1.3569	1.3585	1.3577
2025-01-03	USD	AUD	1.4849	1.4839	1.4859	1.4849
2025-01-03	USD	CHF	0.8546	0.8541	0.8551	0.8546
2025-01-03	USD	SGD	1.3695	1.3689	1.3701	1.3695
2025-01-04	USD	EUR	0.9161	0.9157	0.9165	0.9161
2025-01-04	USD	GBP	0.7826	0.7821	0.7831	0.7826
2025-01-04	USD	INR	84.3407	84.2907	84.3907	84.3407
2025-01-04	USD	JPY	141.1658	141.0158	141.3158	141.1658
2025-01-04	USD	CAD	1.3364	1.3356	1.3372	1.3364
2025-01-04	USD	AUD	1.4953	1.4943	1.4963	1.4953
2025-01-04	USD	CHF	0.8654	0.8649	0.8659	0.8654
2025-01-04	USD	SGD	1.3522	1.3516	1.3528	1.3522
2025-01-05	USD	EUR	0.9341	0.9337	0.9345	0.9341
2025-01-05	USD	GBP	0.7805	0.78	0.781	0.7805
2025-01-05	USD	INR	80.8311	80.7811	80.8811	80.8311
2025-01-05	USD	JPY	145.4598	145.3098	145.6098	145.4598
2025-01-05	USD	CAD	1.3509	1.3501	1.3517	1.3509
2025-01-05	USD	AUD	1.5269	1.5259	1.5279	1.5269
2025-01-05	USD	CHF	0.8962	0.8957	0.8967	0.8962
2025-01-05	USD	SGD	1.3113	1.3107	1.3119	1.3113
2025-01-06	USD	EUR	0.9242	0.9238	0.9246	0.9242
2025-01-06	USD	GBP	0.7677	0.7672	0.7682	0.7677
2025-01-06	USD	INR	80.7694	80.7194	80.8194	80.7694
2025-01-06	USD	JPY	146.5383	146.3883	146.6883	146.5383
2025-01-06	USD	CAD	1.3304	1.3296	1.3312	1.3304
2025-01-06	USD	AUD	1.4913	1.4903	1.4923	1.4913
2025-01-06	USD	CHF	0.8877	0.8872	0.8882	0.8877
2025-01-06	USD	SGD	1.3343	1.3337	1.3349	1.3343
2025-01-07	USD	EUR	0.9262	0.9258	0.9266	0.9262
2025-01-07	USD	GBP	0.8057	0.8052	0.8062	0.8057
2025-01-07	USD	INR	81.307	81.257	81.357	81.307
2025-01-07	USD	JPY	147.1285	146.9785	147.2785	147.1285
2025-01-07	USD	CAD	1.3902	1.3894	1.391	1.3902
2025-01-07	USD	AUD	1.4832	1.4822	1.4842	1.4832
2025-01-07	USD	CHF	0.8688	0.8683	0.8693	0.8688
2025-01-07	USD	SGD	1.3654	1.3648	1.366	1.3654
2025-01-08	USD	EUR	0.9323	0.9319	0.9327	0.9323
2025-01-08	USD	GBP	0.7839	0.7834	0.7844	0.7839
2025-01-08	USD	INR	83.6367	83.5867	83.6867	83.6367
2025-01-08	USD	JPY	140.3002	140.1502	140.4502	140.3002
2025-01-08	USD	CAD	1.3397	1.3389	1.3405	1.3397
2025-01-08	USD	AUD	1.558	1.557	1.559	1.558
2025-01-08	USD	CHF	0.8777	0.8772	0.8782	0.8777
2025-01-08	USD	SGD	1.3387	1.3381	1.3393	1.3387
2025-01-09	USD	EUR	0.9095	0.9091	0.9099	0.9095
2025-01-09	USD	GBP	0.803	0.8025	0.8035	0.803
2025-01-09	USD	INR	85.2828	85.2328	85.3328	85.2828
2025-01-09	USD	JPY	141.0301	140.8801	141.1801	141.0301
2025-01-09	USD	CAD	1.3213	1.3205	1.3221	1.3213
2025-01-09	USD	AUD	1.5527	1.5517	1.5537	1.5527
2025-01-09	USD	CHF	0.8675	0.867	0.868	0.8675
2025-01-09	USD	SGD	1.3326	1.332	1.3332	1.3326
2025-01-10	USD	EUR	0.8984	0.898	0.8988	0.8984
2025-01-10	USD	GBP	0.8038	0.8033	0.8043	0.8038
2025-01-10	USD	INR	81.6606	81.6106	81.7106	81.6606
2025-01-10	USD	JPY	145.7674	145.6174	145.9174	145.7674
2025-01-10	USD	CAD	1.3463	1.3455	1.3471	1.3463
2025-01-10	USD	AUD	1.4795	1.4785	1.4805	1.4795
2025-01-10	USD	CHF	0.8716	0.8711	0.8721	0.8716
2025-01-10	USD	SGD	1.3219	1.3213	1.3225	1.3219
2025-01-11	USD	EUR	0.9355	0.9351	0.9359	0.9355
2025-01-11	USD	GBP	0.7839	0.7834	0.7844	0.7839
2025-01-11	USD	INR	81.9327	81.8827	81.9827	81.9327
2025-01-11	USD	JPY	140.4923	140.3423	140.6423	140.4923
2025-01-11	USD	CAD	1.3176	1.3168	1.3184	1.3176
2025-01-11	USD	AUD	1.5079	1.5069	1.5089	1.5079
2025-01-11	USD	CHF	0.9004	0.8999	0.9009	0.9004
2025-01-11	USD	SGD	1.3182	1.3176	1.3188	1.3182
2025-01-12	USD	EUR	0.8974	0.897	0.8978	0.8974
2025-01-12	USD	GBP	0.7752	0.7747	0.7757	0.7752
2025-01-12	USD	INR	83.8009	83.7509	83.8509	83.8009
2025-01-12	USD	JPY	143.6551	143.5051	143.8051	143.6551
2025-01-12	USD	CAD	1.3588	1.358	1.3596	1.3588
